id,target
533,1
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,1
542,1
543,1
544,0
545,1
546,0
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,0
555,0
556,1
557,0
558,1
559,0
560,0
561,0
562,0
563,1
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,1
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,1
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,0
603,0
604,1
605,1
606,0
607,0
608,0
609,0
610,1
611,0
612,0
613,1
614,1
615,1
616,1
617,0
618,1
619,0
620,0
621,1
622,1
623,0
624,0
625,0
626,0
627,1
628,0
629,1
630,0
631,0
632,0
633,0
634,0
635,0
636,1
637,0
638,0
639,0
640,0
641,1
642,0
643,1
644,0
645,0
646,0
647,0
648,1
649,0
650,0
651,1
652,0
653,0
654,0
655,1
656,0
657,0
658,1
659,0
660,1
661,0
662,0
663,1
664,0
665,0
666,1
667,0
668,0
669,0
670,1
671,0
672,1
673,0
674,1
675,1
676,1
677,0
678,0
679,0
680,1
681,1
682,1
683,1
684,0
685,0
686,1
687,0
688,1
689,0
690,0
691,0
692,0
693,1
694,0
695,1
696,1
697,0
698,0
699,0
700,1
701,0
702,1
703,0
704,0
705,0
706,0
707,1
708,0
709,0
710,0
711,0
712,0
713,1
714,0
715,0
716,0
717,0
718,0
719,1
720,1
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,1
731,0
732,1
733,0
734,1
735,1
736,1
737,1
738,0
739,1
740,0
741,0
742,1
743,0
744,0
745,1
746,1
747,0
748,0
749,1
750,0
751,0
752,0
753,1
754,0
755,0
756,0
757,0
758,1
759,0
760,0
761,0
762,0
763,1
764,0
765,0
766,1
767,0
768,0
769,0
770,1
771,0
772,0
773,0
774,1
775,0
776,0
777,0
778,1
779,1
780,1
781,1
782,0
783,0
784,0
785,1
786,0
787,0
788,0
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,1
798,0
799,1
800,0
801,0
802,1
803,1
804,1
805,1
806,0
807,1
808,1
809,0
810,0
811,1
812,0
813,1
814,1
815,0
816,1
817,1
818,1
819,0
820,0
821,0
822,1
823,0
824,0
825,0
826,1
827,1
828,1
829,0
830,0
831,1
832,1
833,1
834,0
835,0
836,0
837,0
838,1
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,1
849,0
850,1
851,1
852,0
853,0
854,0
855,1
856,0
857,0
858,0
859,1
860,1
861,0
862,0
863,0
864,1
865,0
866,0
867,1
868,0
869,1
870,1
871,0
872,0
873,1
874,0
875,1
876,0
877,0
878,1
879,0
880,0
881,1
882,0
883,1
884,0
885,1
886,0
887,0
888,0
889,0
890,1
891,0
892,1
893,0
894,0
895,0
896,1
897,0
898,0
899,0
900,1
901,0
902,1
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,1
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,1
919,0
920,1
921,0
922,0
923,0
924,0
925,0
926,1
927,1
928,0
929,1
930,1
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,1
940,0
941,0
942,0
943,0
944,1
945,1
946,0
947,1
948,0
949,0
950,0
951,0
952,0
953,1
954,0
955,1
956,1
957,0
958,0
959,0
960,1
961,0
962,1
963,0
964,1
965,1
966,1
967,0
968,1
969,0
970,1
971,0
972,0
973,0
974,1
975,1
976,1
977,0
978,1
979,1
980,1
981,1
982,0
983,0
984,0
985,0
986,1
987,0
988,0
989,1
990,1
991,1
992,0
993,0
994,0
995,0
996,1
997,0
998,1
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,1
1008,1
1009,1
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,1
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,1
1035,0
1036,0
1037,0
1038,0
1039,0
1040,1
1041,0
1042,1
1043,1
1044,1
1045,0
1046,0
1047,1
1048,0
1049,1
1050,0
1051,0
1052,0
1053,1
1054,1
1055,1
1056,0
1057,0
1058,1
1059,0
1060,0
1061,1
1062,0
1063,0
1064,0
1065,1
1066,0
1067,1
1068,0
1069,0
1070,1
1071,0
1072,1
1073,0
1074,1
1075,1
1076,1
1077,0
1078,1
1079,1
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,1
1088,0
1089,0
1090,0
1091,0
1092,1
1093,0
1094,1
1095,0
1096,0
1097,0
1098,1
1099,1
1100,0
1101,1
1102,1
1103,0
1104,0
1105,1
1106,1
1107,1
1108,0
1109,0
1110,1
1111,0
1112,1
1113,1
1114,0
1115,1
1116,0
1117,0
1118,1
1119,1
1120,1
1121,0
1122,0
1123,0
1124,0
1125,0
1126,1
1127,1
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,1
1136,0
1137,0
1138,1
1139,1
1140,0
1141,0
1142,0
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,0
1151,0
1152,0
